;	Simulated Data
;	t0	2010.35
s2	;	name	of	the	star
;	mK	13.95
;	spectral	type	B2
;	square	10.
;	facSchwarzschild	0	0
;	facSpecialRelativity	0	0
;	facGravitationalRedshift	0	0
;	facRetardation	0	0
;	useEllipse	FALSE
;	omegaSys	0	0
;	Dec2	0	0
;	Ra2	0	0
;	vDec2	0	0
;	vRa2	0	0
1992.294	-0.00807938234302	0.00001	0.177452709178	0.00001	;	simulated NACO
1992.296	-0.00810234310584	0.00001	0.177460204811	0.00001	;	simulated NACO
1992.298	-0.00812530302498	0.00001	0.177467681966	0.00001	;	simulated NACO
1992.3	-0.00814826209828	0.00001	0.177475140646	0.00001	;	simulated NACO
1992.302	-0.00817122032356	0.00001	0.177482580856	0.00001	;	simulated NACO
1992.304	-0.00819417769866	0.00001	0.1774900026	0.00001	;	simulated NACO
1992.306	-0.00821713422142	0.00001	0.177497405881	0.00001	;	simulated NACO
1992.308	-0.00824008988967	0.00001	0.177504790704	0.00001	;	simulated NACO
1992.31	-0.00826304470124	0.00001	0.177512157073	0.00001	;	simulated NACO
1992.312	-0.00828599865397	0.00001	0.177519504992	0.00001	;	simulated NACO
1992.314	-0.00830895174571	0.00001	0.177526834465	0.00001	;	simulated NACO
1992.316	-0.00833190397428	0.00001	0.177534145496	0.00001	;	simulated NACO
1992.318	-0.00835485533753	0.00001	0.177541438089	0.00001	;	simulated NACO
1992.32	-0.00837780583331	0.00001	0.177548712247	0.00001	;	simulated NACO
1992.322	-0.00840075545945	0.00001	0.177555967976	0.00001	;	simulated NACO
1992.324	-0.00842370421379	0.00001	0.177563205279	0.00001	;	simulated NACO
1992.326	-0.00844665209419	0.00001	0.17757042416	0.00001	;	simulated NACO
1992.328	-0.00846959909848	0.00001	0.177577624623	0.00001	;	simulated NACO
1992.33	-0.00849254522452	0.00001	0.177584806671	0.00001	;	simulated NACO
1992.332	-0.00851549047014	0.00001	0.17759197031	0.00001	;	simulated NACO
1992.334	-0.00853843483321	0.00001	0.177599115543	0.00001	;	simulated NACO
1992.336	-0.00856137831156	0.00001	0.177606242374	0.00001	;	simulated NACO
1992.338	-0.00858432090305	0.00001	0.177613350807	0.00001	;	simulated NACO
1992.34	-0.00860726260552	0.00001	0.177620440846	0.00001	;	simulated NACO
1992.342	-0.00863020341685	0.00001	0.177627512495	0.00001	;	simulated NACO
1992.344	-0.00865314333486	0.00001	0.177634565758	0.00001	;	simulated NACO
1992.346	-0.00867608235742	0.00001	0.177641600639	0.00001	;	simulated NACO
1992.348	-0.00869902048239	0.00001	0.177648617141	0.00001	;	simulated NACO
1992.35	-0.00872195770762	0.00001	0.17765561527	0.00001	;	simulated NACO
1992.352	-0.00874489403096	0.00001	0.177662595028	0.00001	;	simulated NACO
1992.354	-0.00876782945028	0.00001	0.177669556419	0.00001	;	simulated NACO
1992.356	-0.00879076396344	0.00001	0.177676499449	0.00001	;	simulated NACO
1992.358	-0.00881369756829	0.00001	0.17768342412	0.00001	;	simulated NACO
1992.36	-0.00883663026269	0.00001	0.177690330436	0.00001	;	simulated NACO
1992.362	-0.00885956204452	0.00001	0.177697218402	0.00001	;	simulated NACO
