;	Simulated Data
;	t0	2010.35
s2	;	name	of	the	star
;	mK	13.95
;	spectral	type	B2
;	square	10.
;	facSchwarzschild	0	0
;	facSpecialRelativity	0	0
;	facGravitationalRedshift	0	0
;	facRetardation	0	0
;	useEllipse	FALSE
;	omegaSys	0	0
;	Dec2	0	0
;	Ra2	0	0
;	vDec2	0	0
;	vRa2	0	0
2020.36	-1177.53132554	0.1	;	simulated SINFONI
2020.362	-1176.92977852	0.1	;	simulated SINFONI
2020.364	-1176.32872692	0.1	;	simulated SINFONI
2020.366	-1175.72816986	0.1	;	simulated SINFONI
2020.368	-1175.12810642	0.1	;	simulated SINFONI
2020.37	-1174.52853571	0.1	;	simulated SINFONI
2020.372	-1173.92945684	0.1	;	simulated SINFONI
2020.374	-1173.33086892	0.1	;	simulated SINFONI
2020.376	-1172.73277104	0.1	;	simulated SINFONI
2020.378	-1172.13516233	0.1	;	simulated SINFONI
2020.38	-1171.5380419	0.1	;	simulated SINFONI
2020.382	-1170.94140885	0.1	;	simulated SINFONI
2020.384	-1170.34526232	0.1	;	simulated SINFONI
2020.386	-1169.74960142	0.1	;	simulated SINFONI
2020.388	-1169.15442526	0.1	;	simulated SINFONI
2020.39	-1168.55973298	0.1	;	simulated SINFONI
2020.392	-1167.9655237	0.1	;	simulated SINFONI
2020.394	-1167.37179655	0.1	;	simulated SINFONI
2020.396	-1166.77855066	0.1	;	simulated SINFONI
2020.398	-1166.18578515	0.1	;	simulated SINFONI
2020.4	-1165.59349917	0.1	;	simulated SINFONI
2020.402	-1165.00169185	0.1	;	simulated SINFONI
2020.404	-1164.41036233	0.1	;	simulated SINFONI
2020.406	-1163.81950974	0.1	;	simulated SINFONI
2020.408	-1163.22913324	0.1	;	simulated SINFONI
2020.41	-1162.63923196	0.1	;	simulated SINFONI
2020.412	-1162.04980505	0.1	;	simulated SINFONI
2020.414	-1161.46085166	0.1	;	simulated SINFONI
2020.416	-1160.87237094	0.1	;	simulated SINFONI
2020.418	-1160.28436204	0.1	;	simulated SINFONI
2020.42	-1159.69682412	0.1	;	simulated SINFONI
2020.422	-1159.10975633	0.1	;	simulated SINFONI
2020.424	-1158.52315783	0.1	;	simulated SINFONI
2020.426	-1157.93702777	0.1	;	simulated SINFONI
2020.428	-1157.35136534	0.1	;	simulated SINFONI
2020.43	-1156.76616967	0.1	;	simulated SINFONI
2020.432	-1156.18143995	0.1	;	simulated SINFONI
2020.434	-1155.59717535	0.1	;	simulated SINFONI
2020.436	-1155.01337502	0.1	;	simulated SINFONI
2020.438	-1154.43003815	0.1	;	simulated SINFONI
2020.44	-1153.8471639	0.1	;	simulated SINFONI
2020.442	-1153.26475146	0.1	;	simulated SINFONI
2020.444	-1152.68279999	0.1	;	simulated SINFONI
2020.446	-1152.10130869	0.1	;	simulated SINFONI
2020.448	-1151.52027673	0.1	;	simulated SINFONI
2020.45	-1150.9397033	0.1	;	simulated SINFONI
2020.452	-1150.35958758	0.1	;	simulated SINFONI
2020.454	-1149.77992875	0.1	;	simulated SINFONI
2020.456	-1149.20072602	0.1	;	simulated SINFONI
2020.458	-1148.62197856	0.1	;	simulated SINFONI
2020.46	-1148.04368558	0.1	;	simulated SINFONI
2020.462	-1147.46584626	0.1	;	simulated SINFONI
2020.464	-1146.88845981	0.1	;	simulated SINFONI
2020.466	-1146.31152542	0.1	;	simulated SINFONI
2020.468	-1145.73504229	0.1	;	simulated SINFONI
2020.47	-1145.15900963	0.1	;	simulated SINFONI
2020.472	-1144.58342664	0.1	;	simulated SINFONI
2020.474	-1144.00829252	0.1	;	simulated SINFONI
2020.476	-1143.43360649	0.1	;	simulated SINFONI
2020.478	-1142.85936776	0.1	;	simulated SINFONI
2020.48	-1142.28557553	0.1	;	simulated SINFONI
2020.482	-1141.71222902	0.1	;	simulated SINFONI
2020.484	-1141.13932744	0.1	;	simulated SINFONI
2020.486	-1140.56687002	0.1	;	simulated SINFONI
2020.488	-1139.99485597	0.1	;	simulated SINFONI
2020.49	-1139.42328451	0.1	;	simulated SINFONI
2020.492	-1138.85215487	0.1	;	simulated SINFONI
2020.494	-1138.28146627	0.1	;	simulated SINFONI
2020.496	-1137.71121793	0.1	;	simulated SINFONI
2020.498	-1137.14140908	0.1	;	simulated SINFONI
2020.5	-1136.57203896	0.1	;	simulated SINFONI
2020.502	-1136.0031068	0.1	;	simulated SINFONI
2020.504	-1135.43461182	0.1	;	simulated SINFONI
2020.506	-1134.86655327	0.1	;	simulated SINFONI
2020.508	-1134.29893038	0.1	;	simulated SINFONI
2020.51	-1133.73174238	0.1	;	simulated SINFONI
2020.512	-1133.16498853	0.1	;	simulated SINFONI
2020.514	-1132.59866806	0.1	;	simulated SINFONI
2020.516	-1132.03278021	0.1	;	simulated SINFONI
2020.518	-1131.46732424	0.1	;	simulated SINFONI
2020.52	-1130.90229938	0.1	;	simulated SINFONI
2020.522	-1130.3377049	0.1	;	simulated SINFONI
2020.524	-1129.77354003	0.1	;	simulated SINFONI
2020.526	-1129.20980404	0.1	;	simulated SINFONI
2020.528	-1128.64649617	0.1	;	simulated SINFONI
2020.53	-1128.08361569	0.1	;	simulated SINFONI
2020.532	-1127.52116185	0.1	;	simulated SINFONI
2020.534	-1126.95913391	0.1	;	simulated SINFONI
2020.536	-1126.39753113	0.1	;	simulated SINFONI
2020.538	-1125.83635277	0.1	;	simulated SINFONI
2020.54	-1125.2755981	0.1	;	simulated SINFONI
2020.542	-1124.71526639	0.1	;	simulated SINFONI
2020.544	-1124.1553569	0.1	;	simulated SINFONI
2020.546	-1123.5958689	0.1	;	simulated SINFONI
2020.548	-1123.03680167	0.1	;	simulated SINFONI
2020.55	-1122.47815448	0.1	;	simulated SINFONI
2020.552	-1121.91992659	0.1	;	simulated SINFONI
2020.554	-1121.3621173	0.1	;	simulated SINFONI
2020.556	-1120.80472587	0.1	;	simulated SINFONI
2020.558	-1120.24775159	0.1	;	simulated SINFONI
2020.56	-1119.69119373	0.1	;	simulated SINFONI
2020.562	-1119.13505159	0.1	;	simulated SINFONI
2020.564	-1118.57932444	0.1	;	simulated SINFONI
2020.566	-1118.02401157	0.1	;	simulated SINFONI
2020.568	-1117.46911227	0.1	;	simulated SINFONI
2020.57	-1116.91462583	0.1	;	simulated SINFONI
2020.572	-1116.36055154	0.1	;	simulated SINFONI
2020.574	-1115.80688869	0.1	;	simulated SINFONI
2020.576	-1115.25363658	0.1	;	simulated SINFONI
2020.578	-1114.7007945	0.1	;	simulated SINFONI
2020.58	-1114.14836175	0.1	;	simulated SINFONI
2020.582	-1113.59633763	0.1	;	simulated SINFONI
2020.584	-1113.04472144	0.1	;	simulated SINFONI
2020.586	-1112.49351248	0.1	;	simulated SINFONI
2020.588	-1111.94271006	0.1	;	simulated SINFONI
2020.59	-1111.39231348	0.1	;	simulated SINFONI
2020.592	-1110.84232205	0.1	;	simulated SINFONI
2020.594	-1110.29273508	0.1	;	simulated SINFONI
2020.596	-1109.74355187	0.1	;	simulated SINFONI
2020.598	-1109.19477174	0.1	;	simulated SINFONI
2020.6	-1108.64639401	0.1	;	simulated SINFONI
2020.602	-1108.09841798	0.1	;	simulated SINFONI
2020.604	-1107.55084298	0.1	;	simulated SINFONI
2020.606	-1107.00366832	0.1	;	simulated SINFONI
2020.608	-1106.45689332	0.1	;	simulated SINFONI
2020.61	-1105.9105173	0.1	;	simulated SINFONI
2020.612	-1105.36453959	0.1	;	simulated SINFONI
2020.614	-1104.8189595	0.1	;	simulated SINFONI
2020.616	-1104.27377637	0.1	;	simulated SINFONI
2020.618	-1103.72898953	0.1	;	simulated SINFONI
2020.62	-1103.18459829	0.1	;	simulated SINFONI
2020.622	-1102.640602	0.1	;	simulated SINFONI
2020.624	-1102.09699998	0.1	;	simulated SINFONI
2020.626	-1101.55379156	0.1	;	simulated SINFONI
2020.628	-1101.01097609	0.1	;	simulated SINFONI
2020.63	-1100.46855289	0.1	;	simulated SINFONI
2020.632	-1099.9265213	0.1	;	simulated SINFONI
2020.634	-1099.38488067	0.1	;	simulated SINFONI
2020.636	-1098.84363034	0.1	;	simulated SINFONI
2020.638	-1098.30276963	0.1	;	simulated SINFONI
2020.64	-1097.76229791	0.1	;	simulated SINFONI
2020.642	-1097.22221451	0.1	;	simulated SINFONI
2020.644	-1096.68251879	0.1	;	simulated SINFONI
2020.646	-1096.14321008	0.1	;	simulated SINFONI
2020.648	-1095.60428774	0.1	;	simulated SINFONI
2020.65	-1095.06575113	0.1	;	simulated SINFONI
2020.652	-1094.52759958	0.1	;	simulated SINFONI
2020.654	-1093.98983246	0.1	;	simulated SINFONI
2020.656	-1093.45244912	0.1	;	simulated SINFONI
2020.658	-1092.91544892	0.1	;	simulated SINFONI
2020.66	-1092.37883122	0.1	;	simulated SINFONI
2020.662	-1091.84259537	0.1	;	simulated SINFONI
2020.664	-1091.30674074	0.1	;	simulated SINFONI
2020.666	-1090.77126669	0.1	;	simulated SINFONI
2020.668	-1090.23617258	0.1	;	simulated SINFONI
2020.67	-1089.70145778	0.1	;	simulated SINFONI
2020.672	-1089.16712166	0.1	;	simulated SINFONI
2020.674	-1088.63316358	0.1	;	simulated SINFONI
2020.676	-1088.09958291	0.1	;	simulated SINFONI
2020.678	-1087.56637902	0.1	;	simulated SINFONI
2020.68	-1087.03355129	0.1	;	simulated SINFONI
2020.682	-1086.50109909	0.1	;	simulated SINFONI
2020.684	-1085.96902179	0.1	;	simulated SINFONI
2020.686	-1085.43731877	0.1	;	simulated SINFONI
2020.688	-1084.90598942	0.1	;	simulated SINFONI
2020.69	-1084.3750331	0.1	;	simulated SINFONI
2020.692	-1083.84444919	0.1	;	simulated SINFONI
2020.694	-1083.31423709	0.1	;	simulated SINFONI
2020.696	-1082.78439617	0.1	;	simulated SINFONI
2020.698	-1082.25492582	0.1	;	simulated SINFONI
2020.7	-1081.72582542	0.1	;	simulated SINFONI
2020.702	-1081.19709437	0.1	;	simulated SINFONI
2020.704	-1080.66873205	0.1	;	simulated SINFONI
2020.706	-1080.14073784	0.1	;	simulated SINFONI
2020.708	-1079.61311115	0.1	;	simulated SINFONI
2020.71	-1079.08585136	0.1	;	simulated SINFONI
2020.712	-1078.55895787	0.1	;	simulated SINFONI
2020.714	-1078.03243008	0.1	;	simulated SINFONI
2020.716	-1077.50626738	0.1	;	simulated SINFONI
2020.718	-1076.98046916	0.1	;	simulated SINFONI
2020.72	-1076.45503484	0.1	;	simulated SINFONI
2020.722	-1075.9299638	0.1	;	simulated SINFONI
2020.724	-1075.40525546	0.1	;	simulated SINFONI
2020.726	-1074.88090921	0.1	;	simulated SINFONI
2020.728	-1074.35692446	0.1	;	simulated SINFONI
2020.73	-1073.83330061	0.1	;	simulated SINFONI
2020.732	-1073.31003708	0.1	;	simulated SINFONI
2020.734	-1072.78713327	0.1	;	simulated SINFONI
2020.736	-1072.26458859	0.1	;	simulated SINFONI
2020.738	-1071.74240245	0.1	;	simulated SINFONI
2020.74	-1071.22057426	0.1	;	simulated SINFONI
2020.742	-1070.69910345	0.1	;	simulated SINFONI
2020.744	-1070.17798941	0.1	;	simulated SINFONI
2020.746	-1069.65723158	0.1	;	simulated SINFONI
2020.748	-1069.13682936	0.1	;	simulated SINFONI
2020.75	-1068.61678217	0.1	;	simulated SINFONI
2020.752	-1068.09708945	0.1	;	simulated SINFONI
2020.754	-1067.5777506	0.1	;	simulated SINFONI
2020.756	-1067.05876505	0.1	;	simulated SINFONI
2020.758	-1066.54013222	0.1	;	simulated SINFONI
2020.76	-1066.02185155	0.1	;	simulated SINFONI
2020.762	-1065.50392244	0.1	;	simulated SINFONI
2020.764	-1064.98634434	0.1	;	simulated SINFONI
2020.766	-1064.46911668	0.1	;	simulated SINFONI
2020.768	-1063.95223887	0.1	;	simulated SINFONI
2020.77	-1063.43571036	0.1	;	simulated SINFONI
2020.772	-1062.91953057	0.1	;	simulated SINFONI
2020.774	-1062.40369894	0.1	;	simulated SINFONI
2020.776	-1061.88821491	0.1	;	simulated SINFONI
2020.778	-1061.3730779	0.1	;	simulated SINFONI
2020.78	-1060.85828737	0.1	;	simulated SINFONI
2020.782	-1060.34384274	0.1	;	simulated SINFONI
2020.784	-1059.82974345	0.1	;	simulated SINFONI
2020.786	-1059.31598896	0.1	;	simulated SINFONI
2020.788	-1058.80257869	0.1	;	simulated SINFONI
2020.79	-1058.2895121	0.1	;	simulated SINFONI
2020.792	-1057.77678862	0.1	;	simulated SINFONI
2020.794	-1057.26440771	0.1	;	simulated SINFONI
2020.796	-1056.7523688	0.1	;	simulated SINFONI
2020.798	-1056.24067136	0.1	;	simulated SINFONI
2020.8	-1055.72931483	0.1	;	simulated SINFONI
2020.802	-1055.21829865	0.1	;	simulated SINFONI
2020.804	-1054.70762228	0.1	;	simulated SINFONI
2020.806	-1054.19728518	0.1	;	simulated SINFONI
2020.808	-1053.6872868	0.1	;	simulated SINFONI
2020.81	-1053.17762659	0.1	;	simulated SINFONI
2020.812	-1052.66830401	0.1	;	simulated SINFONI
2020.814	-1052.15931851	0.1	;	simulated SINFONI
2020.816	-1051.65066957	0.1	;	simulated SINFONI
2020.818	-1051.14235663	0.1	;	simulated SINFONI
2020.82	-1050.63437915	0.1	;	simulated SINFONI
2020.822	-1050.12673661	0.1	;	simulated SINFONI
2020.824	-1049.61942846	0.1	;	simulated SINFONI
2020.826	-1049.11245416	0.1	;	simulated SINFONI
2020.828	-1048.60581319	0.1	;	simulated SINFONI
2020.83	-1048.09950501	0.1	;	simulated SINFONI
2020.832	-1047.59352909	0.1	;	simulated SINFONI
2020.834	-1047.0878849	0.1	;	simulated SINFONI
2020.836	-1046.5825719	0.1	;	simulated SINFONI
2020.838	-1046.07758957	0.1	;	simulated SINFONI
2020.84	-1045.57293738	0.1	;	simulated SINFONI
2020.842	-1045.06861481	0.1	;	simulated SINFONI
2020.844	-1044.56462132	0.1	;	simulated SINFONI
2020.846	-1044.0609564	0.1	;	simulated SINFONI
2020.848	-1043.55761953	0.1	;	simulated SINFONI
2020.85	-1043.05461017	0.1	;	simulated SINFONI
2020.852	-1042.55192781	0.1	;	simulated SINFONI
2020.854	-1042.04957193	0.1	;	simulated SINFONI
2020.856	-1041.54754202	0.1	;	simulated SINFONI
2020.858	-1041.04583755	0.1	;	simulated SINFONI
2020.86	-1040.544458	0.1	;	simulated SINFONI
2020.862	-1040.04340287	0.1	;	simulated SINFONI
2020.864	-1039.54267163	0.1	;	simulated SINFONI
2020.866	-1039.04226378	0.1	;	simulated SINFONI
2020.868	-1038.5421788	0.1	;	simulated SINFONI
2020.87	-1038.04241618	0.1	;	simulated SINFONI
2020.872	-1037.54297541	0.1	;	simulated SINFONI
2020.874	-1037.04385599	0.1	;	simulated SINFONI
2020.876	-1036.5450574	0.1	;	simulated SINFONI
2020.878	-1036.04657914	0.1	;	simulated SINFONI
2020.88	-1035.5484207	0.1	;	simulated SINFONI
2020.882	-1035.05058158	0.1	;	simulated SINFONI
2020.884	-1034.55306127	0.1	;	simulated SINFONI
2020.886	-1034.05585927	0.1	;	simulated SINFONI
2020.888	-1033.55897509	0.1	;	simulated SINFONI
2020.89	-1033.06240821	0.1	;	simulated SINFONI
2020.892	-1032.56615814	0.1	;	simulated SINFONI
2020.894	-1032.07022439	0.1	;	simulated SINFONI
2020.896	-1031.57460645	0.1	;	simulated SINFONI
2020.898	-1031.07930383	0.1	;	simulated SINFONI
2020.9	-1030.58431603	0.1	;	simulated SINFONI
2020.902	-1030.08964257	0.1	;	simulated SINFONI
2020.904	-1029.59528293	0.1	;	simulated SINFONI
2020.906	-1029.10123665	0.1	;	simulated SINFONI
2020.908	-1028.60750321	0.1	;	simulated SINFONI
2020.91	-1028.11408214	0.1	;	simulated SINFONI
2020.912	-1027.62097294	0.1	;	simulated SINFONI
2020.914	-1027.12817513	0.1	;	simulated SINFONI
2020.916	-1026.63568822	0.1	;	simulated SINFONI
2020.918	-1026.14351172	0.1	;	simulated SINFONI
2020.92	-1025.65164515	0.1	;	simulated SINFONI
2020.922	-1025.16008803	0.1	;	simulated SINFONI
2020.924	-1024.66883987	0.1	;	simulated SINFONI
2020.926	-1024.17790018	0.1	;	simulated SINFONI
2020.928	-1023.6872685	0.1	;	simulated SINFONI
2020.93	-1023.19694433	0.1	;	simulated SINFONI
2020.932	-1022.7069272	0.1	;	simulated SINFONI
2020.934	-1022.21721664	0.1	;	simulated SINFONI
2020.936	-1021.72781216	0.1	;	simulated SINFONI
2020.938	-1021.23871328	0.1	;	simulated SINFONI
2020.94	-1020.74991955	0.1	;	simulated SINFONI
2020.942	-1020.26143047	0.1	;	simulated SINFONI
2020.944	-1019.77324558	0.1	;	simulated SINFONI
2020.946	-1019.2853644	0.1	;	simulated SINFONI
2020.948	-1018.79778646	0.1	;	simulated SINFONI
2020.95	-1018.3105113	0.1	;	simulated SINFONI
2020.952	-1017.82353844	0.1	;	simulated SINFONI
2020.954	-1017.33686742	0.1	;	simulated SINFONI
2020.956	-1016.85049777	0.1	;	simulated SINFONI
2020.958	-1016.36442902	0.1	;	simulated SINFONI
2020.96	-1015.87866071	0.1	;	simulated SINFONI
2020.962	-1015.39319237	0.1	;	simulated SINFONI
2020.964	-1014.90802354	0.1	;	simulated SINFONI
2020.966	-1014.42315376	0.1	;	simulated SINFONI
2020.968	-1013.93858256	0.1	;	simulated SINFONI
2020.97	-1013.45430949	0.1	;	simulated SINFONI
2020.972	-1012.97033409	0.1	;	simulated SINFONI
2020.974	-1012.48665589	0.1	;	simulated SINFONI
2020.976	-1012.00327444	0.1	;	simulated SINFONI
2020.978	-1011.52018928	0.1	;	simulated SINFONI
2020.98	-1011.03739996	0.1	;	simulated SINFONI
2020.982	-1010.55490602	0.1	;	simulated SINFONI
2020.984	-1010.07270701	0.1	;	simulated SINFONI
2020.986	-1009.59080247	0.1	;	simulated SINFONI
2020.988	-1009.10919196	0.1	;	simulated SINFONI
2020.99	-1008.62787501	0.1	;	simulated SINFONI
2020.992	-1008.14685119	0.1	;	simulated SINFONI
2020.994	-1007.66612004	0.1	;	simulated SINFONI
2020.996	-1007.18568111	0.1	;	simulated SINFONI
2020.998	-1006.70553395	0.1	;	simulated SINFONI
2021.	-1006.22567813	0.1	;	simulated SINFONI
2021.002	-1005.74611318	0.1	;	simulated SINFONI
2021.004	-1005.26683868	0.1	;	simulated SINFONI
2021.006	-1004.78785417	0.1	;	simulated SINFONI
2021.008	-1004.30915921	0.1	;	simulated SINFONI
2021.01	-1003.83075336	0.1	;	simulated SINFONI
2021.012	-1003.35263617	0.1	;	simulated SINFONI
2021.014	-1002.87480722	0.1	;	simulated SINFONI
2021.016	-1002.39726605	0.1	;	simulated SINFONI
2021.018	-1001.92001223	0.1	;	simulated SINFONI
2021.02	-1001.44304532	0.1	;	simulated SINFONI
2021.022	-1000.96636489	0.1	;	simulated SINFONI
2021.024	-1000.4899705	0.1	;	simulated SINFONI
2021.026	-1000.01386171	0.1	;	simulated SINFONI
2021.028	-999.538038088	0.1	;	simulated SINFONI
2021.03	-999.062499205	0.1	;	simulated SINFONI
2021.032	-998.587244625	0.1	;	simulated SINFONI
2021.034	-998.112273918	0.1	;	simulated SINFONI
2021.036	-997.637586652	0.1	;	simulated SINFONI
2021.038	-997.163182398	0.1	;	simulated SINFONI
2021.04	-996.689060726	0.1	;	simulated SINFONI
2021.042	-996.215221209	0.1	;	simulated SINFONI
2021.044	-995.741663419	0.1	;	simulated SINFONI
2021.046	-995.268386931	0.1	;	simulated SINFONI
2021.048	-994.795391317	0.1	;	simulated SINFONI
2021.05	-994.322676155	0.1	;	simulated SINFONI
2021.052	-993.850241019	0.1	;	simulated SINFONI
2021.054	-993.378085488	0.1	;	simulated SINFONI
2021.056	-992.906209138	0.1	;	simulated SINFONI
2021.058	-992.434611549	0.1	;	simulated SINFONI
2021.06	-991.9632923	0.1	;	simulated SINFONI
2021.062	-991.492250972	0.1	;	simulated SINFONI
2021.064	-991.021487145	0.1	;	simulated SINFONI
2021.066	-990.551000402	0.1	;	simulated SINFONI
2021.068	-990.080790326	0.1	;	simulated SINFONI
2021.07	-989.6108565	0.1	;	simulated SINFONI
2021.072	-989.141198509	0.1	;	simulated SINFONI
2021.074	-988.671815939	0.1	;	simulated SINFONI
2021.076	-988.202708376	0.1	;	simulated SINFONI
2021.078	-987.733875406	0.1	;	simulated SINFONI
2021.08	-987.265316617	0.1	;	simulated SINFONI
2021.082	-986.797031599	0.1	;	simulated SINFONI
2021.084	-986.329019941	0.1	;	simulated SINFONI
2021.086	-985.861281232	0.1	;	simulated SINFONI
2021.088	-985.393815064	0.1	;	simulated SINFONI
2021.09	-984.926621029	0.1	;	simulated SINFONI
2021.092	-984.459698719	0.1	;	simulated SINFONI
2021.094	-983.993047729	0.1	;	simulated SINFONI
2021.096	-983.526667651	0.1	;	simulated SINFONI
2021.098	-983.060558082	0.1	;	simulated SINFONI
2021.1	-982.594718618	0.1	;	simulated SINFONI
2021.102	-982.129148854	0.1	;	simulated SINFONI
2021.104	-981.663848389	0.1	;	simulated SINFONI
2021.106	-981.198816822	0.1	;	simulated SINFONI
2021.108	-980.73405375	0.1	;	simulated SINFONI
2021.11	-980.269558774	0.1	;	simulated SINFONI
2021.112	-979.805331495	0.1	;	simulated SINFONI
2021.114	-979.341371515	0.1	;	simulated SINFONI
2021.116	-978.877678434	0.1	;	simulated SINFONI
2021.118	-978.414251857	0.1	;	simulated SINFONI
2021.12	-977.951091387	0.1	;	simulated SINFONI
2021.122	-977.488196629	0.1	;	simulated SINFONI
2021.124	-977.025567188	0.1	;	simulated SINFONI
2021.126	-976.563202671	0.1	;	simulated SINFONI
2021.128	-976.101102684	0.1	;	simulated SINFONI
2021.13	-975.639266835	0.1	;	simulated SINFONI
2021.132	-975.177694733	0.1	;	simulated SINFONI
2021.134	-974.716385986	0.1	;	simulated SINFONI
2021.136	-974.255340204	0.1	;	simulated SINFONI
2021.138	-973.794556999	0.1	;	simulated SINFONI
2021.14	-973.334035982	0.1	;	simulated SINFONI
2021.142	-972.873776764	0.1	;	simulated SINFONI
2021.144	-972.413778959	0.1	;	simulated SINFONI
2021.146	-971.954042181	0.1	;	simulated SINFONI
2021.148	-971.494566044	0.1	;	simulated SINFONI
2021.15	-971.035350164	0.1	;	simulated SINFONI
2021.152	-970.576394155	0.1	;	simulated SINFONI
2021.154	-970.117697636	0.1	;	simulated SINFONI
2021.156	-969.659260224	0.1	;	simulated SINFONI
2021.158	-969.201081536	0.1	;	simulated SINFONI
2021.16	-968.743161193	0.1	;	simulated SINFONI
2021.162	-968.285498814	0.1	;	simulated SINFONI
2021.164	-967.828094018	0.1	;	simulated SINFONI
2021.166	-967.370946427	0.1	;	simulated SINFONI
2021.168	-966.914055664	0.1	;	simulated SINFONI
2021.17	-966.45742135	0.1	;	simulated SINFONI
2021.172	-966.00104311	0.1	;	simulated SINFONI
2021.174	-965.544920567	0.1	;	simulated SINFONI
2021.176	-965.089053347	0.1	;	simulated SINFONI
2021.178	-964.633441075	0.1	;	simulated SINFONI
2021.18	-964.178083377	0.1	;	simulated SINFONI
2021.182	-963.72297988	0.1	;	simulated SINFONI
2021.184	-963.268130213	0.1	;	simulated SINFONI
2021.186	-962.813534003	0.1	;	simulated SINFONI
2021.188	-962.359190879	0.1	;	simulated SINFONI
2021.19	-961.905100472	0.1	;	simulated SINFONI
2021.192	-961.451262412	0.1	;	simulated SINFONI
2021.194	-960.99767633	0.1	;	simulated SINFONI
2021.196	-960.544341859	0.1	;	simulated SINFONI
2021.198	-960.09125863	0.1	;	simulated SINFONI
2021.2	-959.638426277	0.1	;	simulated SINFONI
2021.202	-959.185844435	0.1	;	simulated SINFONI
2021.204	-958.733512738	0.1	;	simulated SINFONI
2021.206	-958.281430821	0.1	;	simulated SINFONI
2021.208	-957.829598321	0.1	;	simulated SINFONI
2021.21	-957.378014874	0.1	;	simulated SINFONI
2021.212	-956.926680119	0.1	;	simulated SINFONI
2021.214	-956.475593693	0.1	;	simulated SINFONI
2021.216	-956.024755236	0.1	;	simulated SINFONI
2021.218	-955.574164387	0.1	;	simulated SINFONI
2021.22	-955.123820787	0.1	;	simulated SINFONI
2021.222	-954.673724077	0.1	;	simulated SINFONI
2021.224	-954.223873898	0.1	;	simulated SINFONI
2021.226	-953.774269893	0.1	;	simulated SINFONI
2021.228	-953.324911706	0.1	;	simulated SINFONI
2021.23	-952.875798979	0.1	;	simulated SINFONI
2021.232	-952.426931357	0.1	;	simulated SINFONI
2021.234	-951.978308486	0.1	;	simulated SINFONI
2021.236	-951.52993001	0.1	;	simulated SINFONI
2021.238	-951.081795578	0.1	;	simulated SINFONI
2021.24	-950.633904835	0.1	;	simulated SINFONI
2021.242	-950.186257429	0.1	;	simulated SINFONI
2021.244	-949.73885301	0.1	;	simulated SINFONI
2021.246	-949.291691227	0.1	;	simulated SINFONI
2021.248	-948.844771728	0.1	;	simulated SINFONI
2021.25	-948.398094165	0.1	;	simulated SINFONI
2021.252	-947.951658189	0.1	;	simulated SINFONI
2021.254	-947.505463451	0.1	;	simulated SINFONI
2021.256	-947.059509604	0.1	;	simulated SINFONI
2021.258	-946.613796301	0.1	;	simulated SINFONI
2021.26	-946.168323196	0.1	;	simulated SINFONI
2021.262	-945.723089942	0.1	;	simulated SINFONI
2021.264	-945.278096195	0.1	;	simulated SINFONI
2021.266	-944.833341611	0.1	;	simulated SINFONI
2021.268	-944.388825846	0.1	;	simulated SINFONI
2021.27	-943.944548557	0.1	;	simulated SINFONI
2021.272	-943.500509402	0.1	;	simulated SINFONI
2021.274	-943.056708038	0.1	;	simulated SINFONI
2021.276	-942.613144124	0.1	;	simulated SINFONI
2021.278	-942.169817322	0.1	;	simulated SINFONI
2021.28	-941.726727289	0.1	;	simulated SINFONI
2021.282	-941.283873688	0.1	;	simulated SINFONI
2021.284	-940.84125618	0.1	;	simulated SINFONI
2021.286	-940.398874427	0.1	;	simulated SINFONI
2021.288	-939.956728091	0.1	;	simulated SINFONI
2021.29	-939.514816837	0.1	;	simulated SINFONI
2021.292	-939.073140329	0.1	;	simulated SINFONI
2021.294	-938.63169823	0.1	;	simulated SINFONI
2021.296	-938.190490206	0.1	;	simulated SINFONI
2021.298	-937.749515923	0.1	;	simulated SINFONI
2021.3	-937.308775047	0.1	;	simulated SINFONI
2021.302	-936.868267245	0.1	;	simulated SINFONI
2021.304	-936.427992186	0.1	;	simulated SINFONI
2021.306	-935.987949537	0.1	;	simulated SINFONI
2021.308	-935.548138969	0.1	;	simulated SINFONI
2021.31	-935.108560149	0.1	;	simulated SINFONI
2021.312	-934.669212749	0.1	;	simulated SINFONI
2021.314	-934.230096439	0.1	;	simulated SINFONI
2021.316	-933.791210891	0.1	;	simulated SINFONI
2021.318	-933.352555777	0.1	;	simulated SINFONI
2021.32	-932.914130769	0.1	;	simulated SINFONI
2021.322	-932.475935541	0.1	;	simulated SINFONI
2021.324	-932.037969765	0.1	;	simulated SINFONI
2021.326	-931.600233118	0.1	;	simulated SINFONI
2021.328	-931.162725273	0.1	;	simulated SINFONI
2021.33	-930.725445907	0.1	;	simulated SINFONI
2021.332	-930.288394695	0.1	;	simulated SINFONI
2021.334	-929.851571314	0.1	;	simulated SINFONI
2021.336	-929.414975442	0.1	;	simulated SINFONI
2021.338	-928.978606758	0.1	;	simulated SINFONI
2021.34	-928.542464938	0.1	;	simulated SINFONI
2021.342	-928.106549663	0.1	;	simulated SINFONI
2021.344	-927.670860613	0.1	;	simulated SINFONI
2021.346	-927.235397467	0.1	;	simulated SINFONI
2021.348	-926.800159908	0.1	;	simulated SINFONI
2021.35	-926.365147616	0.1	;	simulated SINFONI
2021.352	-925.930360274	0.1	;	simulated SINFONI
2021.354	-925.495797564	0.1	;	simulated SINFONI
2021.356	-925.061459171	0.1	;	simulated SINFONI
